,Question,Answer
0,What are the ultimate objects of scientific medicine? <sep>,INTRODUCTION To prolong human life and to alleviate suffering are the ultimate objects of scientific medicine.
1,"What is the art of treating lesions and malformations of the human body by manual operations, mediate and immediate? <sep> What is the art of treating lesions and malformations of the human body by manual operations, mediate and immediate? <sep>","The two great branches of the healing art Medicine and Surgery are so intimately related that it is impossible to draw a hard-and-fast line between them, but for convenience Surgery may be defined as ""the art of treating lesions and malformations of the human body by manual operations, mediate and immediate."""
2,What is the first step in a surgeon's career? <sep> What is the first step in a surgeon's career? <sep> What is the first step in a surgeon's career? <sep> What is the first step in a surgeon's career? <sep>,"To apply his art intelligently and successfully, it is essential that the surgeon should be conversant not only with the normal anatomy and physiology of the body and with the various pathological conditions to which it is liable, but also with the nature of the process by which repair of injured or diseased tissues is effected."
3,What is the reason a person is unable to recognize deviations from the normal? <sep> What is the reason a person is unable to recognize deviations from the normal? <sep>,"Without this knowledge he is unable to recognise such deviations from the normal as result from mal-development, injury, or disease, or rationally to direct his efforts towards the correction or removal of these."
4,What is the process of repair in living tissue dependent on? <sep> What is the power of vital cells of reacting to the irritation caused by injury or disease? <sep>,PROCESS OF REPAIR The process of repair in living tissue depends upon an inherent power possessed by vital cells of reacting to the irritation caused by injury or disease.
5,What are the cells of damaged tissues designed to do? <sep>,"The cells of the damaged tissues, under the influence of this irritation, undergo certain proliferative changes, which are designed to restore the normal structure and configuration of the part."
6,What is the process of restoration essentially the same in all tissues? <sep> What is the extent to which different tissues can carry the recuperative process? <sep>,"The process by which this restoration is effected is essentially the same in all tissues, but the extent to which different tissues can carry the recuperative process varies."
7,What are some structures that have a high power of regeneration? <sep> What can happen to the structures that have a high power of regeneration? <sep>,"Simple structures, such as skin, cartilage, bone, periosteum, and tendon, for example, have a high power of regeneration, and in them the reparative process may result in almost perfect restitution to the normal."
8,What is the name of the tissue that takes the place of what has been lost or destroyed? <sep> What is the name of the tissue that takes the place of what has been lost or destroyed? <sep>,"More complex structures, on the other hand, such as secreting glands, muscle, and the tissues of the central nervous system, are but imperfectly restored, simple cicatricial connective tissue taking the place of what has been lost or destroyed."
9,What can be replaced by tissue of a similar kind? <sep> What does each element do in a damaged part? <sep> What does each element produce in a damaged part? <sep>,"Any given tissue can be replaced only by tissue of a similar kind, and in a damaged part each element takes its share in the reparative process by producing new material which approximates more or less closely to the normal according to the recuperative capacity of the particular tissue."
