text,label
Grafting,WORK_OF_ART
Healing by Primary Union,ORG
reactio,ORG
Formation of Granulation Tissue,ORG
Formation of Cicatricial Tissue,ORG
Healing of Epidermis,ORG
gra,ORG
Healing by Union,ORG
Reunion of Parts,ORG
unabsorbable chromicised catgut,PERSON
INDIVIDUAL TISSUES  ,ORG
Skin and Connective Tissue,ORG
tiss,ORG
Secretory Glands,LOC
Nerve Tissues,ORG
GRAFTING,ORG
Preservation of Tissues,ORG
atre,ORG
INDIVIDUAL TISSUES,ORG
Transfusion,ORG
The Skin,ORG
Epidermis,ORG
Epithelial Grafting,PERSON
Thiersch,PERSON
Leipsic,GPE
Reverdin,PERSON
the Cutis Vera,PERSON
Gillies,ORG
Tuffier,PERSON
CHAPTER II,LAW
"REPAIR

SURGICAL BACTERIOLOGY Want",ORG
John Hilton's,PERSON
Cocci,ORG
micrococci  ,PERSON
Spirilla,PERSON
bacilli,PERSON
pinal canal,ORG
Serum Disease,WORK_OF_ART
A. E. Wright,PERSON
ac,ORG
Staphylococcus Aureus,ORG
Streptococcus Pyogenes,ORG
Bacillus Coli Communis,ORG
Friedländer,PERSON
Bacillus Typhosus,ORG
micrococcus,ORG
Lyon,GPE
F. I. Dawson,PERSON
cor,ORG
primipara,GPE
Leucopenia,PERSON
Iodine,PERSON
Glycogen Reaction,ORG
CHAPTER III,LAW
nflammation,ORG
hamorrhagic,ORG
interi,PRODUCT
Celsus,PERSON
bef,GPE
Gastro,GPE
Diarrhœa,PERSON
Constricting Bandage,PERSON
hyperamic,PRODUCT
ime,ORG
General Treatment,ORG
c antitoxic sera,PERSON
stimul,PERSON
Dover,GPE
Gastro,PERSON
ichthyol,GPE
Leiter,PERSON
arterioles,NORP
suba,GPE
lymphadeni,PERSON
setons,ORG
CHAPTER IV,LAW
Suppurative,PERSON
Sinus,LOC
Sapramia   Septicamia   Pyamia,PERSON
albumoses,ORG
amœboid movement,ORG
tak,PERSON
Typical Pus,ORG
ACUTE CIRCUMSCRIBED ABSCESS,ORG
Fallopian,NORP
Acute Circumscribed Abscess,ORG
sarcomatous,GPE
John Bell,PERSON
submuc,GPE
Dakin,PERSON
anti-streptococcic,ORG
Initial Stage,ORG
The Purulent Blister,ORG
Subcutaneous Whitlow,PERSON
Whitlow,ORG
forearm  ,PERSON
SUPPURATION,PERSON
Beck,ORG
vesico,ORG
Meckel,PERSON
Sapramia,PERSON
acc,ORG
Hectic,ORG
Septicamia,GPE
Pyamia,ORG
icteric tint,PERSON
CHAPTER V ULCERATION,LAW
viti,PERSON
Clinical Examination,ORG
Classification of Ulcers,ORG
clini,PERSON
A.  Arrangement of Ulcers,ORG
Traumatism,ORG
syringo-myelia,ORG
grey shreddy,ORG
rficial syphilitic gummata,ORG
B.  Arrangement of Ulcers,ORG
The Healing Condition,WORK_OF_ART
Cathcart,PERSON
Hilton,PERSON
possibl,NORP
