question|answer
Healing by Primary Union|"Healing by Primary Union.The most favourable conditions for the progress of the reparative process are to be found in a clean-cut wound of the integument, which is uncomplicated by loss of tissue, by the presence of foreign substances, or by infection with disease-producing micro-organisms, and its edges are in contact.Such a wound in virtue of the absence of infection is said to be  aseptic , and under these conditions healing takes place by what is called ""primary union"" the ""healing by first intention"" of the older writers.Granulation Tissue.The essential and invariable medium of repair in all structures is an elementary form of new tissue known as  granulation tissue , which is produced in the damaged area in response to the irritation caused by injury or disease.The vital reaction induced by such irritation results in dilatation of the vessels of the part, emigration of leucocytes, transudation of lymph, and certain proliferative changes in the fixed tissue cells."
Formation of Granulation Tissue|Formation of Granulation Tissue.When a wound is made in the integument under aseptic conditions, the passage of the knife through the tissues is immediately followed by an oozing of blood, which soon coagulates on the cut surfaces.In each of the divided vessels a clot forms, and extends as far as the nearest collateral branch; and on the surface of the wound there is a microscopic layer of bruised and devitalised tissue.If the wound is closed, the narrow space between its edges is occupied by blood-clot, which consists of red and white corpuscles mixed with a quantity of fibrin, and this forms a temporary uniting medium between the divided surfaces.During the first twelve hours, the minute vessels in the vicinity of the wound dilate, and from them lymph exudes and leucocytes migrate into the tissues.In from twenty-four to thirty-six hours, the capillaries of the part adjacent to the wound begin to throw out minute buds and fine processes, which bridge the gap and form a firmer, but still temporary, connection between the two sides.
Formation of Cicatricial Tissue|Formation of Cicatricial Tissue.The transformation of this temporary granulation tissue into scar tissue is effected by the fibroblasts, which become elongated and spindle-shaped, and produce in and around them a fine fibrillated material which gradually increases in quantity till it replaces the cell protoplasm.In this way white fibrous tissue is formed, the cells of which are arranged in parallel lines and eventually become grouped in bundles, constituting fully formed white fibrous tissue.In its growth it gradually obliterates the capillaries, until at the end of two, three, or four weeks both vessels and cells have almost entirely disappeared, and the original wound is occupied by cicatricial tissue.In course of time this tissue becomes consolidated, and the cicatrix undergoes a certain amount of contraction  cicatricial contraction .Healing of Epidermis.
Healing of Epidermis|Healing of Epidermis.While these changes are taking place in the deeper parts of the wound, the surface is being covered over by  epidermis  growing in from the margins.Within twelve hours the cells of the rete Malpighii close to the cut edge begin to sprout on to the surface of the wound, and by their proliferation gradually cover the granulations with a thin pink pellicle.As the epithelium increases in thickness it assumes a bluish hue and eventually the cells become cornified and the epithelium assumes a greyish-white colour.Clinical Aspects.So long as the process of repair is not complicated by infection with micro-organisms, there is no interference with the general health of the patient.
Healing by Union|Healing by Union of two Granulating Surfaces.In gaping wounds union is sometimes obtained by bringing the two surfaces into apposition after each has become covered with healthy granulations.The exudate on the surfaces causes them to adhere, capillary loops pass from one to the other, and their final fusion takes place by the further development of granulation and cicatricial tissue.Reunion of Parts entirely Separated from the Body.Small portions of tissue, such as the end of a finger, the tip of the nose or a portion of the external ear, accidentally separated from the body, if accurately replaced and fixed in position, occasionally adhere by primary union.In the course of operations also, portions of skin, fascia, or bone, or even a complete joint may be transplanted, and unite by primary union.
Reunion of Parts|Reunion of Parts entirely Separated from the Body.Small portions of tissue, such as the end of a finger, the tip of the nose or a portion of the external ear, accidentally separated from the body, if accurately replaced and fixed in position, occasionally adhere by primary union.In the course of operations also, portions of skin, fascia, or bone, or even a complete joint may be transplanted, and unite by primary union.Healing under a Scab.When a small superficial wound is exposed to the air, the blood and serum exuded on its surface may dry and form a hard crust or  scab , which serves to protect the surface from external irritation in the same way as would a dry pad of sterilised gauze.Under this scab the formation of granulation tissue, its transformation into cicatricial tissue, and the growth of epithelium on the surface, go on until in the course of time the crust separates, leaving a scar.
INDIVIDUAL TISSUES  |REPAIR IN INDIVIDUAL TISSUES  Skin and Connective Tissue.The mode of regeneration of these tissues under aseptic conditions has already been described as the type of ideal repair.In highly vascular parts, such as the face, the reparative process goes on with great rapidity, and even extensive wounds may be firmly united in from three to five days.Where the anastomosis is less free the process is more prolonged.The more highly organised elements of the skin, such as the hair follicles, the sweat and sebaceous glands, are imperfectly reproduced; hence the scar remains smooth, dry, and hairless.Epithelium.
Skin and Connective Tissue|REPAIR IN INDIVIDUAL TISSUES  Skin and Connective Tissue.The mode of regeneration of these tissues under aseptic conditions has already been described as the type of ideal repair.In highly vascular parts, such as the face, the reparative process goes on with great rapidity, and even extensive wounds may be firmly united in from three to five days.Where the anastomosis is less free the process is more prolonged.The more highly organised elements of the skin, such as the hair follicles, the sweat and sebaceous glands, are imperfectly reproduced; hence the scar remains smooth, dry, and hairless.Epithelium.
Nerve Tissues|Nerve Tissues.There is no trustworthy evidence that regeneration of the tissues of the brain or spinal cord in man ever takes place.Any loss of substance is replaced by cicatricial tissue.The repair of  Bone ,  Blood Vessels , and  Peripheral Nerves  is more conveniently considered in the chapters dealing with these structures.Rate of Healing.While the rate at which wounds heal is remarkably constant there are certain factors that influence it in one direction or the other.
Preservation of Tissues|Preservation of Tissues for Grafting.It was at one time believed that tissues might be taken from the operating theatre and kept in cold storage until they were required.It is now agreed that tissues which have been separated from the body for some time inevitably lose their vitality, become incapable of regeneration, and are therefore unsuited for grafting purposes.If it is intended to preserve a portion of tissue for future grafting, it should be embedded in the subcutaneous tissue of the abdominal wall until it is wanted; this has been carried out with portions of costal cartilage and of bone.INDIVIDUAL TISSUES AS GRAFTS  The Blood  lends itself in an ideal manner to transplantation, or, as it has long been called,  transfusion .Being always a homoplastic transfer, the new blood is not always tolerated by the old, in which case biochemical changes occur, resulting in hamolysis, which corresponds to the disintegration of other unsuccessful homoplastic grafts.
